Date,Open,High,Low,Close,Adj. Close,Change,Volume
"Jan 2, 2026",265,270,261.5,267,267,1.52%,"1,018"
"Dec 31, 2025",268.5,270,255,263,263,-0.94%,"9,685"
"Dec 30, 2025",267.5,270,260,265.5,265.5,-1.12%,"15,106"
"Dec 29, 2025",270,270,263.75,268.5,268.5,0.19%,"4,608"
"Dec 24, 2025",264,270,260,268,268,0.47%,"6,824"
"Dec 23, 2025",269,280,261.25,266.75,266.75,-4.05%,"8,907"
"Dec 22, 2025",290,290,270,278,278,-3.72%,"11,761"
"Dec 19, 2025",300,300,288,288.75,288.75,-3.67%,"1,254,122"
"Dec 18, 2025",290,351,280,299.75,299.75,18.95%,"457,454"
"Dec 17, 2025",235,276,233,252,252,0.30%,"118,473"
"Dec 16, 2025",236,252,235,251.25,251.25,7.03%,"208,445"
"Dec 15, 2025",234,240,232.5,234.75,234.75,0.86%,"30,004"
"Dec 11, 2025",232,234,230,232.75,232.75,0.65%,"12,215"
"Dec 10, 2025",232,234,230.5,231.25,231.25,0.54%,"23,461"
"Dec 9, 2025",232,232,230,230,230,-,"17,288"
"Dec 8, 2025",229,232,220,230,230,2.22%,"63,911"
"Dec 5, 2025",220,232,219,225,225,2.16%,"465,864"
"Dec 4, 2025",220,222.5,215,220.25,220.25,-,"6,965"
"Dec 3, 2025",220.5,221,219,220.25,220.25,0.11%,"7,090"
"Dec 2, 2025",221,221,219.75,220,220,-,"150,766"
"Dec 1, 2025",221,221,220,220,220,-0.68%,"71,471"
"Nov 28, 2025",225.75,225.75,220,221.5,221.5,-1.66%,"28,040"
"Nov 27, 2025",230,230,221,225.25,225.25,-0.22%,"2,795"
"Nov 26, 2025",225.75,230,225.75,225.75,225.75,-,"1,266,307"
"Nov 25, 2025",231,232,225,225.75,225.75,-2.06%,"3,749"
"Nov 24, 2025",233,234,228,230.5,230.5,-1.50%,"2,700"
"Nov 21, 2025",234.5,234.5,232,234,234,-0.43%,"46,069"
"Nov 20, 2025",235,235,232,235,235,-,"43,125"
"Nov 19, 2025",231,235,230,235,235,0.97%,"559,679"
"Nov 18, 2025",232,238.75,227,232.75,232.75,-0.96%,"36,536"
"Nov 17, 2025",235,238.75,232,235,235,-,"37,633"
"Nov 14, 2025",238.5,238.5,232,235,235,-,"141,824"
"Nov 13, 2025",240,240,235,235,235,-2.08%,"420,481"
"Nov 12, 2025",239,244,232,240,240,-0.21%,"369,496"
"Nov 11, 2025",250,250,240,240.5,240.5,-1.43%,"77,017"
"Nov 10, 2025",247,247.75,244,244,244,-0.51%,"126,045"
"Nov 7, 2025",250,250,245,245.25,245.25,0.51%,"33,017"
"Nov 6, 2025",240,246,240,244,244,1.88%,"853,188"
"Nov 5, 2025",235,244,232.75,239.5,239.5,3.23%,"64,039"
"Nov 4, 2025",230,234.5,230,232,232,-,"17,668"
"Nov 3, 2025",235,235,230,232,232,0.11%,"788,598"
"Oct 31, 2025",232,235,228,231.75,231.75,0.22%,"191,946"
"Oct 30, 2025",231,235,228,231.25,231.25,1.31%,"32,645"
"Oct 29, 2025",225,231,222,228.25,228.25,1.90%,"58,742"
"Oct 28, 2025",231,231,220,224,224,-0.99%,"20,034"
"Oct 27, 2025",225,230,222,226.25,226.25,1.80%,"13,585"
"Oct 24, 2025",220.25,225,219.75,222.25,222.25,1.14%,"443,818"
"Oct 23, 2025",218,224,216,219.75,219.75,2.09%,"171,737"
"Oct 22, 2025",215,218,215,215.25,215.25,0.12%,"115,352"
"Oct 21, 2025",215,218,213,215,215,1.18%,"576,578"
"Oct 16, 2025",213,215,206,212.5,212.5,-0.23%,"10,938"
"Oct 15, 2025",215,215,209.75,213,213,-0.58%,"22,838"
"Oct 14, 2025",215,215,212,214.25,214.25,-0.23%,"3,870"
"Oct 13, 2025",217,218,195.5,214.75,214.75,-1.04%,"30,225"
"Oct 9, 2025",218,218,214,217,217,0.12%,"206,600"
"Oct 8, 2025",218,218.75,216.25,216.75,216.75,0.58%,"8,275"
"Oct 7, 2025",214,219,214,215.5,215.5,0.70%,"330,128"
"Oct 6, 2025",214,215,214,214,214,0.47%,"45,313"
"Oct 3, 2025",214,214,213,213,213,-,"143,248"
"Oct 2, 2025",212,214,212,213,213,0.59%,"8,352"
"Oct 1, 2025",211.75,214,211.75,211.75,211.75,0.36%,"39,334"
